(x, y, cap, sonde, angle_sonde)
(-1, -1, -1, -1.0, 99.95625)
(-1, -1, -1, 3.0, 96.01875)
(-1, -1, -1, 2.84, 92.08125)
(-1, -1, -1, 2.833333, 80.26875)
(-1, -1, -1, 2.833333, 79.9875)
(-1, -1, -1, 2.833333, 82.2375)
(-1, -1, -1, 2.833333, 84.20625)
(-1, -1, -1, 2.84, 88.14375)
(-1, -1, -1, 2.84, 90.1125)
(-1, -1, -1, 2.84, 94.05)
(-1, -1, -1, -1.0, 97.9875)
(-1, -1, -1, -1.0, 99.95625)
(-1, -1, -1, 3.0, 96.01875)
(-1, -1, -1, 2.84, 92.08125)
(-1, -1, -1, 2.833333, 80.26875)
(-1, -1, -1, 2.84, 80.26875)
(0.6043132837563, 0.6269775819950123, -5.975690978760227, 2.833333, 88.14375)
(0.6043132837563, 0.6269775819950123, -5.975690978760227, 2.84, 92.08125)
(0.6043132837563, 0.6269775819950123, -5.975690978760227, -1.0, 96.01875)
(0.6043132837563, 0.6269775819950123, -5.975690978760227, -1.0, 97.9875)
(0.6043132837563, 0.6269775819950123, -5.975690978760227, 2.986667, 97.9875)
(0.6043132837563, 0.6269775819950123, -5.975690978760227, -1.0, 96.01875)
(0.6043132837563, 0.6269775819950123, -5.975690978760227, 2.953333, 90.1125)
(0.6043132837563, 0.6269775819950123, -5.975690978760227, 2.833333, 84.20625)
(-1, -1, -1, 2.833333, 80.26875)
(-1, -1, -1, 2.833333, 80.26875)
(-1, -1, -1, 2.833333, 84.20625)
(-1, -1, -1, 2.833333, 88.14375)
(-1, -1, -1, 2.84, 92.08125)
(0.6082522193208653, 0.6314367318194708, -5.975690978760227, 2.84, 94.05)
(0.6082522193208653, 0.6314367318194708, -5.975690978760227, -1.0, 99.95625)
(0.6082522193208653, 0.6314367318194708, -5.975690978760227, -1.0, 96.01875)
(0.6082522193208653, 0.6314367318194708, -5.975690978760227, 2.846667, 90.1125)
(0.6082522193208653, 0.6314367318194708, -5.975690978760227, 2.833333, 86.175)
(0.6082522193208653, 0.6314367318194708, -5.975690978760227, 2.833333, 84.20625)
(0.6082522193208653, 0.6314367318194708, -5.975690978760227, 2.833333, 80.26875)
(0.6082522193208653, 0.6314367318194708, -5.975690978760227, 2.846667, 80.26875)
(0.6087528826826145, 0.6291698565924704, -5.989009473118591, 2.8, 86.175)
(0.6087528826826145, 0.6291698565924704, -5.989009473118591, 2.84, 92.08125)
(0.6087528826826145, 0.6291698565924704, -5.989009473118591, 2.846667, 94.05)
(0.6087528826826145, 0.6291698565924704, -5.989009473118591, -1.0, 97.9875)
(0.6087528826826145, 0.6291698565924704, -5.989009473118591, -1.0, 97.9875)
(0.6087528826826145, 0.6291698565924704, -5.989009473118591, 2.946667, 92.08125)
(0.6087528826826145, 0.6291698565924704, -5.989009473118591, 2.68, 86.175)
(0.6087528826826145, 0.6291698565924704, -5.989009473118591, 2.686667, 82.2375)
(0.6126830085484606, 0.6336351657016279, -5.987104327037699, 2.693333, 79.9875)
(0.6126830085484606, 0.6336351657016279, -5.987104327037699, 2.686667, 86.175)
(0.6126830085484606, 0.6336351657016279, -5.987104327037699, 2.933333, 88.14375)
(0.643914984383515, 0.647475122720234, -5.931554230193576, -1.0, 94.05)
(0.643914984383515, 0.647475122720234, -5.931554230193576, -1.0, 99.95625)
(0.643914984383515, 0.647475122720234, -5.931554230193576, 2.873333, 96.01875)
(0.643914984383515, 0.647475122720234, -5.931554230193576, 2.873333, 94.05)
(0.6793612982042772, 0.6650625937774913, -5.878688865915889, 2.853333, 88.14375)
(0.6793612982042772, 0.6650625937774913, -5.878688865915889, 2.686667, 84.20625)
(0.6793612982042772, 0.6650625937774913, -5.878688865915889, 2.66, 82.2375)
(0.6793612982042772, 0.6650625937774913, -5.878688865915889, 2.66, 84.20625)
(0.6793612982042772, 0.6650625937774913, -5.878688865915889, 2.693333, 86.175)
(0.6793612982042772, 0.6650625937774913, -5.878688865915889, 2.7, 88.14375)
(0.6809103783607714, 0.6652790450193788, -5.874275321026316, 2.846667, 90.1125)
(0.6809103783607714, 0.6652790450193788, -5.874275321026316, 2.873333, 92.08125)
(0.6809103783607714, 0.6652790450193788, -5.874275321026316, 2.873333, 94.05)
(0.6809103783607714, 0.6652790450193788, -5.874275321026316, 2.873333, 96.01875)
(0.6809103783607714, 0.6652790450193788, -5.874275321026316, 2.88, 97.9875)
(0.6809103783607714, 0.6652790450193788, -5.874275321026316, 2.88, 99.95625)
(0.6809103783607714, 0.6652790450193788, -5.874275321026316, 2.88, 97.9875)
(0.7779887603473726, 0.7278027630771734, -5.726197145358405, 2.873333, 96.01875)
(0.7779887603473726, 0.7278027630771734, -5.726197145358405, 2.88, 94.05)
(0.7779887603473726, 0.7278027630771734, -5.726197145358405, 2.88, 92.08125)
(0.7779887603473726, 0.7278027630771734, -5.726197145358405, 2.846667, 90.1125)
(0.7779887603473726, 0.7278027630771734, -5.726197145358405, 2.846667, 88.14375)
(0.7779887603473726, 0.7278027630771734, -5.726197145358405, 2.853333, 86.175)
(0.7779887603473726, 0.7278027630771734, -5.726197145358405, 2.693333, 84.20625)
(0.7779887603473726, 0.7278027630771734, -5.726197145358405, 2.686667, 82.2375)
(0.7779887603473726, 0.7278027630771734, -5.726197145358405, 2.873333, 80.26875)
(0.8866618215449397, 0.8203744363707413, -5.559845280074992, 2.666667, 79.9875)
(0.8866618215449397, 0.8203744363707413, -5.559845280074992, 2.66, 80.26875)
(0.8866618215449397, 0.8203744363707413, -5.559845280074992, 2.673333, 82.2375)
(0.8866618215449397, 0.8203744363707413, -5.559845280074992, 2.693333, 84.20625)
(0.8866618215449397, 0.8203744363707413, -5.559845280074992, 2.853333, 86.175)
(0.8866618215449397, 0.8203744363707413, -5.559845280074992, 2.853333, 88.14375)
(0.8866618215449397, 0.8203744363707413, -5.559845280074992, 2.853333, 90.1125)
(0.8866618215449397, 0.8203744363707413, -5.559845280074992, 2.853333, 92.08125)
(0.9154155069867066, 0.8468656385175946, -5.509620111174755, 2.88, 94.05)
(0.9154155069867066, 0.8468656385175946, -5.509620111174755, 2.88, 96.01875)
(0.9154155069867066, 0.8468656385175946, -5.509620111174755, 2.88, 97.9875)
(0.9154155069867066, 0.8468656385175946, -5.509620111174755, 2.886667, 99.95625)
(0.9154155069867066, 0.8468656385175946, -5.509620111174755, 2.88, 97.9875)
(0.9154155069867066, 0.8468656385175946, -5.509620111174755, 2.88, 96.01875)
(0.9154155069867066, 0.8468656385175946, -5.509620111174755, 2.88, 94.05)
(0.9154155069867066, 0.8468656385175946, -5.509620111174755, 2.86, 92.08125)
(0.9154155069867066, 0.8468656385175946, -5.509620111174755, 2.86, 90.1125)
(0.9438865959187439, 0.8755876508983145, -5.475446644126757, 2.84, 88.14375)
(0.9438865959187439, 0.8755876508983145, -5.475446644126757, 2.833333, 86.175)
(0.9438865959187439, 0.8755876508983145, -5.475446644126757, 2.686667, 84.20625)
(0.9438865959187439, 0.8755876508983145, -5.475446644126757, 2.66, 82.2375)
(0.9438865959187439, 0.8755876508983145, -5.475446644126757, 2.66, 80.26875)
(0.9438865959187439, 0.8755876508983145, -5.475446644126757, 2.846667, 79.9875)
